datetime,open,high,low,close,volume
2024-09-10 09:07:00,2001.0,2001.0,2001.0,2001.0,1
2024-09-10 09:19:00,2003.0,2003.0,2003.0,2003.0,1
2024-09-10 09:24:00,2001.0,2001.0,2001.0,2001.0,181
2024-09-10 09:26:00,2001.0,2001.0,2001.0,2001.0,19
2024-09-10 09:39:00,1900.0,1900.0,1900.0,1900.0,10
2024-09-10 09:40:00,1900.0,1900.0,1900.0,1900.0,10
2024-09-10 09:43:00,1900.0,1900.0,1900.0,1900.0,109
2024-09-10 10:02:00,2000.0,2000.0,2000.0,2000.0,13
2024-09-10 10:03:00,2000.0,2000.0,2000.0,2000.0,1
2024-09-10 10:12:00,2000.0,2000.0,2000.0,2000.0,10
2024-09-10 10:17:00,1902.0,1999.0,1902.0,1999.0,3
2024-09-10 10:20:00,1998.0,1998.0,1998.0,1998.0,1
2024-09-10 10:26:00,1910.0,1910.0,1910.0,1910.0,20
2024-09-10 10:27:00,1910.0,1993.0,1910.0,1993.0,980
2024-09-10 10:28:00,1994.0,1994.0,1994.0,1994.0,11
2024-09-10 10:30:00,1990.0,1990.0,1990.0,1990.0,1
2024-09-10 10:33:00,2000.0,2000.0,2000.0,2000.0,100
2024-09-10 10:36:00,1939.0,1939.0,1939.0,1939.0,21
2024-09-10 10:40:00,1939.0,1939.0,1939.0,1939.0,191
2024-09-10 10:41:00,1939.0,1939.0,1939.0,1939.0,9
2024-09-10 10:42:00,1909.0,1909.0,1909.0,1909.0,20
2024-09-10 10:44:00,1938.0,1938.0,1938.0,1938.0,21
2024-09-10 10:50:00,1909.0,1909.0,1909.0,1909.0,21
2024-09-10 10:55:00,1909.0,1909.0,1909.0,1909.0,21
2024-09-10 10:56:00,1909.0,1909.0,1909.0,1909.0,100
2024-09-10 10:58:00,1909.0,1909.0,1909.0,1909.0,1
2024-09-10 11:00:00,1909.0,1909.0,1909.0,1909.0,100
2024-09-10 11:01:00,1909.0,1909.0,1900.0,1900.0,40
2024-09-10 11:25:00,1910.0,1910.0,1910.0,1910.0,5
2024-09-10 11:34:00,1998.0,1998.0,1998.0,1998.0,9
2024-09-10 11:37:00,1998.0,1999.0,1998.0,1999.0,11
2024-09-10 12:17:00,1910.0,1910.0,1910.0,1910.0,38
2024-09-10 12:29:00,1954.0,1954.0,1954.0,1954.0,25
2024-09-14 09:52:00,1990.0,1990.0,1990.0,1990.0,1
2024-09-14 10:32:00,1950.0,1950.0,1950.0,1950.0,20
2024-09-14 10:36:00,1950.0,1950.0,1950.0,1950.0,23
2024-09-14 10:56:00,1950.0,1950.0,1950.0,1950.0,10
2024-09-14 11:05:00,1940.0,1940.0,1940.0,1940.0,10
2024-09-14 11:07:00,1900.0,1900.0,1900.0,1900.0,93
2024-09-14 11:11:00,1900.0,1900.0,1900.0,1900.0,7
2024-09-14 11:43:00,1840.0,1840.0,1840.0,1840.0,10
2024-09-14 11:46:00,1825.0,1825.0,1825.0,1825.0,30
2024-09-14 11:52:00,1825.0,1825.0,1825.0,1825.0,4
2024-09-14 11:53:00,1825.0,1825.0,1825.0,1825.0,60
2024-09-14 12:02:00,1800.0,1800.0,1800.0,1800.0,100
2024-09-14 12:03:00,1800.0,1800.0,1800.0,1800.0,10
2024-09-14 12:05:00,1800.0,1800.0,1800.0,1800.0,20
2024-09-14 12:11:00,1760.0,1760.0,1760.0,1760.0,5
2024-09-14 12:24:00,1760.0,1760.0,1760.0,1760.0,9
2024-09-14 12:25:00,1760.0,1760.0,1760.0,1760.0,33
2024-09-14 12:29:00,1800.0,1800.0,1800.0,1800.0,33
2024-09-15 09:11:00,1820.0,1820.0,1820.0,1820.0,5
2024-09-15 09:20:00,1775.0,1775.0,1775.0,1775.0,15
2024-09-15 09:30:00,1780.0,1780.0,1780.0,1780.0,6
2024-09-15 09:31:00,1770.0,1770.0,1750.0,1750.0,10
2024-09-15 09:33:00,1750.0,1750.0,1750.0,1750.0,5
2024-09-15 09:37:00,1750.0,1750.0,1750.0,1750.0,17
2024-09-15 09:38:00,1750.0,1750.0,1700.0,1700.0,40
2024-09-15 09:40:00,1700.0,1700.0,1700.0,1700.0,5
2024-09-15 09:47:00,1700.0,1700.0,1700.0,1700.0,10
2024-09-15 09:54:00,1699.0,1699.0,1699.0,1699.0,5
2024-09-15 10:06:00,1670.0,1670.0,1650.0,1650.0,85
2024-09-15 10:07:00,1650.0,1650.0,1650.0,1650.0,95
2024-09-15 10:11:00,1650.0,1650.0,1650.0,1650.0,5
2024-09-15 10:17:00,1650.0,1650.0,1650.0,1650.0,95
2024-09-15 10:40:00,1699.0,1699.0,1699.0,1699.0,85
2024-09-15 10:41:00,1699.0,1699.0,1699.0,1699.0,3
2024-09-15 10:53:00,1650.0,1650.0,1650.0,1650.0,25
2024-09-15 10:59:00,1649.0,1649.0,1649.0,1649.0,1
2024-09-15 11:05:00,1644.0,1650.0,1644.0,1650.0,60
2024-09-15 11:09:00,1620.0,1620.0,1620.0,1620.0,10
2024-09-15 11:11:00,1600.0,1600.0,1600.0,1600.0,200
2024-09-15 11:17:00,1629.0,1629.0,1629.0,1629.0,100
2024-09-15 11:31:00,1513.0,1513.0,1508.0,1508.0,19
2024-09-15 11:36:00,1501.0,1501.0,1501.0,1501.0,10
2024-09-15 11:38:00,1500.0,1500.0,1500.0,1500.0,20
2024-09-15 11:42:00,1471.0,1471.0,1471.0,1471.0,10
2024-09-15 11:43:00,1471.0,1471.0,1471.0,1471.0,90
2024-09-15 11:45:00,1500.0,1500.0,1500.0,1500.0,40
2024-09-15 11:56:00,1500.0,1500.0,1500.0,1500.0,10
2024-09-15 11:59:00,1500.0,1500.0,1500.0,1500.0,10
2024-09-15 12:07:00,1500.0,1500.0,1500.0,1500.0,20
2024-09-15 12:10:00,1450.0,1450.0,1450.0,1450.0,10
2024-09-15 12:29:00,1455.0,1455.0,1455.0,1455.0,1
